"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","Umag","alphat","epsilon","k","nut","p","p_rgh","rho"
100,-216.66,20,300,9.3473,-0.14894,0.041674,9.3487,0.27035,9.5129e-05,0.015861,0.18759,1.0132e+05,-1.5779,1.225
125,-216.66,20,300,9.3984,-0.13968,0.041153,9.3997,0.27654,0.00010049,0.01648,0.19189,1.0132e+05,-2.3101,1.225
150,-216.81,20,300,9.4445,-0.12339,0.039536,9.4455,0.28276,0.00010607,0.017113,0.1962,1.0132e+05,-2.9644,1.225
175.02,-216.78,20,300,9.4819,-0.099789,0.036319,9.4825,0.28888,0.00011189,0.017758,0.20045,1.0132e+05,-3.4964,1.225
200.03,-216.78,20,300,9.5065,-0.070993,0.031315,9.5069,0.29483,0.0001179,0.018408,0.20457,1.0132e+05,-3.8597,1.225
225.02,-216.78,20,300,9.5167,-0.040263,0.024976,9.5169,0.30062,0.00012403,0.019059,0.2086,1.0132e+05,-4.0195,1.225
250.03,-216.77,20,300,9.5123,-0.010045,0.018017,9.5124,0.3062,0.0001303,0.019711,0.21247,1.0132e+05,-3.9771,1.225
275.04,-216.76,20,300,9.4959,0.018207,0.010994,9.496,0.31151,0.00013671,0.020362,0.21615,1.0132e+05,-3.7663,1.225
300,-216.67,20,300,9.4716,0.043501,0.0039458,9.4718,0.31663,0.00014318,0.021005,0.2197,1.0132e+05,-3.4298,1.225
325,-216.67,20,300,9.439,0.06366,-0.0029387,9.4392,0.32156,0.00014967,0.021641,0.22312,1.0132e+05,-3.0063,1.225
350,-216.67,20,300,9.4023,0.077769,-0.0088029,9.4026,0.32631,0.00015619,0.022269,0.22642,1.0132e+05,-2.5378,1.225
375,-216.67,20,300,9.3641,0.086924,-0.013276,9.3646,0.33093,0.00016276,0.022892,0.22962,1.0132e+05,-2.0615,1.225
400,-216.67,20,300,9.3264,0.092156,-0.016758,9.3269,0.33542,0.00016939,0.023511,0.23274,1.0132e+05,-1.5983,1.225
425,-216.67,20,300,9.29,0.094521,-0.019498,9.2906,0.33982,0.0001761,0.024129,0.23579,1.0132e+05,-1.1596,1.225
450,-216.67,20,300,9.2569,0.09521,-0.022018,9.2574,0.3441,0.00018288,0.024743,0.23876,1.0132e+05,-0.75066,1.225
475,-216.67,20,300,9.2209,0.095067,-0.02471,9.2215,0.34837,0.00018993,0.025371,0.24173,1.0132e+05,-0.39082,1.225
500,-216.67,20,300,9.7089,0.10027,-0.026602,9.7095,0.38364,0.00019357,0.025693,0.2662,1.0132e+05,-0.011971,1.225
-300,-195,20,300,9.5,0,0,9.5,0.0019044,0.12361,0.015027,0.0013214,1.0133e+05,3.3778,1.225
-275,-195,20,300,8.9986,-0.0056122,0.0063427,8.9986,0.19477,0.0013934,0.0089898,0.13515,1.0133e+05,3.3746,1.225
-250,-195,20,300,8.9975,-0.01131,0.0075814,8.9975,0.19877,4.6027e-05,0.0090989,0.13792,1.0133e+05,3.3727,1.225
